"Registration_Date"	"Brand_Name"	"Model_Name"	"Province_Registration"
20220127	"Mazda"	"CX30"	"HUESCA"
20221125	"MG"	"ZS"	"HUESCA"
20230725	"MG"	"ZS"	"HUESCA"
20220831	"Hyundai"	"Bayon"	"HUESCA"
20220104	"Ssangyong"	"Tivoli"	"HUESCA"
20211008	"Hyundai"	"Bayon"	"HUESCA"
20220603	"Suzuki"	"Ignis"	"HUESCA"
20210625	"Mazda"	"CX5"	"HUESCA"
20230907	"Kia"	"Niro"	"HUESCA"
20221021	"Kia"	"Niro"	"HUESCA"
20211203	"Toyota"	"Corolla"	"HUESCA"
20210713	"Mitsubishi"	"Space Star"	"HUESCA"
20230707	"Mitsubishi"	"Space Star"	"HUESCA"
20230823	"Nissan"	"Juke"	"HUESCA"
20230623	"Hyundai"	"Tucson"	"HUESCA"
20211122	"Kia"	"Niro"	"HUESCA"
20210929	"Kia"	"Niro"	"HUESCA"
20231229	"Isuzu"	"D-Max"	"HUESCA"
20211209	"Isuzu"	"D-Max"	"HUESCA"
20230503	"Land Rover"	"Freelander"	"HUESCA"
20221229	"Toyota"	"Corolla"	"HUESCA"
20231024	"Kia"	"Ceed"	"HUESCA"
20220914	"Hyundai"	"Tucson"	"HUESCA"
20211227	"Toyota"	"C-HR"	"HUESCA"
20231130	"Skoda"	"Kodiaq"	"HUESCA"
20220404	"Skoda"	"Kodiaq"	"HUESCA"
20230831	"Skoda"	"Kamiq"	"HUESCA"
20210224	"Jaguar"	"XF (X250)"	"HUESCA"
